track_id,title,song_id,release,artist_id,artist_mbid,artist_name,duration,artist_familiarity,artist_hotttnesss,year,track_7digitalid,shs_perf,shs_work
TRMMGCB128E079651D,Get Along (Feat: Pace Won) (Instrumental),SOHNWIM12A67ADF7D9,Charango,ARU3C671187FB3F71B,067102ea-9519-4622-9077-57ca4164cfbb,Morcheeba,227.47383,0.819087196,0.533117125,2002,185967,-1,0
TRMMGTX128F92FB4D9,Viejo,SOECFIW12A8C144546,Caraluna,ARPAAPH1187FB3601B,f69d655c-ffd6-4bee-8c2a-3086b2be2fc6,Bacilos,307.51302,0.595554054,0.400705227,0,6825058,-1,0
TRMMGDP128F933E59A,I Say A Little Prayer,SOGWEOB12AB018A4D0,The Legendary Hi Records Albums_ Volume 3: Full Of Fire + Have A Good Time + The Belle Album + Truth n Time,ARNNRN31187B9AE7B7,fb7272ba-f130-4f0a-934d-6eeea4c18c9a,Al Green,133.58975,0.779490377,0.599210493,1978,5211723,-1,11898
TRMMHBF12903CF6E59,At the Ball_ That's All,SOJGCRL12A8C144187,Best of Laurel & Hardy - The Lonesome Pine,AR1FEUF1187B9AF3E3,4a8ae4fd-ad6f-4912-851f-093f12ee3572,Laurel & Hardy,123.71546,0.438709417,0.307119842,0,8645877,-1,0
TRMMHKG12903CDB1B5,Black Gold,SOHNFBA12AB018CD1D,Total Life Forever,ARVXV1J1187FB5BF88,6a65d878-fcd0-42cf-aff9-ca1d636a8bcc,Foals,386.32444,0.842577664,0.514522578,2010,9007438,-1,0
TRMMCBU128E0791823,Do You Know,SOSEDAW12A6701C8BB,Wake Up And Smell The Coffee,ARCBIPV1187B9AC2D1,c98d40fd-f6cf-4b26-883e-eaa515ee2851,The Cranberries,189.12608,0.830759466,0.577364124,2001,160212,-1,0
TRMMCDR128F423AB03,Anyone Else But You,SOSZNRJ12A8AE46E38,Juno - Music From The Motion Picture,AR62GN71187B9AAD0C,70fada2a-5b8c-4988-a2d7-79576d7f6daf,Michael Cera & Ellen Page,116.71465,0.540440724,0.464981119,2007,2028040,-1,0
TRMMRPV128F93110FE,The American,SOOAIPI12AB017C018,3,ARTZRS11187FB4C8A9,77cceea7-91bb-4a4c-ae41-bc9c46c1ccb5,Nouvelle Vague,223.03302,0.828691577,0.488331624,0,5474213,98399,98398
TRMMRAC128F4238209,The Way He Was Raised,SOOXEWU12A81C21671,Everything Is Fine,ARKZ13R1187FB54FEE,a19d4ee1-091c-4884-a1cd-e959fd581576,Josh Turner,271.35955,0.791801556,0.637302343,0,2630883,-1,0
TRMMFSL128F4234583,Drunk and Hot Girls,SOGKGLB12A81C22AFA,Graduation,ARRH63Y1187FB47783,164f0d73-1234-4e2c-8743-d77bf2191051,Kanye West / Mos Def,313.28608,0.877213746,1.082502557,2007,1356708,-1,0
TRMMFAR128F42986F7,Knowledge,SOXQBTU12A8C13F5E0,Operation Ivy,ARXANMY1187B9AEFDA,931e1d1f-6b2f-4ff8-9f70-aa537210cd46,Operation Ivy,102.1122,0.677054112,0.473101335,1989,1828955,12133,12133
TRMMQSP128F1486267,Until The Day I Die (Album Version),SOWZDNH12A6D4F7237,Page Avenue,ARF6ZTO1187FB3684F,e2c3c508-f0ab-49af-92c9-a81d66d67405,Story Of The Year,235.78077,0.806762596,0.580095045,2003,471119,-1,0
TRMMQOL128F9340687,Rewind (Demo),SOQBGZD12AB0184341,Riot!,AR4OU721187FB4549D,728ea90d-279b-4201-a8c4-597830883150,Paramore,226.95138,0.951487818,0.658924824,0,5669453,-1,0
TRMMQFP128F92F0413,This Cocaine Makes Me Feel Like I'm On This Song,SOCAXWE12A8C13CEC0,Mezmerize,AR9C8IE1187B9ACC99,cc0b7089-c08d-4c10-b6b0-873582c17fd6,System of a Down,128.23465,0.909957523,0.587916679,2005,4329838,-1,0
TRMMZNN128F42887EF,Gemini (Birthday Song),SOWKNBL12A8C13D663,Elephant Eyelash,AR0B3RS1187FB48F5D,86d2b4bc-a3ed-43b7-881c-f1d7f2ce3adc,Why?,327.52281,0.822034962,0.47701979,0,2399441,-1,0
TRMMZKU128F4296801,Never Knew Love,SOTPWHK12A8AE46DC8,Love Songs,ARWPYQI1187FB4D55A,db92a151-1ac2-438b-bc43-b82e149ddd50,Rick Astley,185.67791,0.754917645,0.507464243,1991,3373583,-1,0
TRMMIPY128F423739E,Never Seen The Light Of Day (Radio Edit),SOWILYC12A6D4FC186,Never Seen The Light Of Day,ARR6MOS1187B994C51,ea854cc1-13fc-4fd0-86a5-d2c7dba06764,Mando Diao,211.59138,0.807779928,0.486825413,2007,1999698,-1,0
TRMMABF128F425862B,Heroes Get Remembered_ Legends Never Die,SOBQZKH12A8AE48A02,Rise Or Die Trying,ARF4I701187FB3AEFF,c0a138e2-cef7-471b-8fbb-524e1076256a,Four Year Strong,215.87546,0.672684956,0.573962548,2007,3099052,-1,0
TRMMALW128F92FD049,Out Of My Mind,SOVUCRS12A58A7D207,Where The Light Is: John Mayer Live In Los Angeles,ARZENOX1187B98A645,8a81edd9-6f62-4ac7-afee-17dc0fec5fe7,John Mayer,610.53342,0.837947909,0.787679354,0,3821478,-1,0
TRMMNPQ12903CAFD18,Cold War,SOJLPCD12AB01836A2,Big Echo,ARRCJQD1187FB47609,0e6b3a2c-6a42-4b43-a4f6-c6625c5855de,The Morning Benders,104.12363,0.624650018,0.516554598,2010,8354119,-1,0
TRMMPDJ128F429472E,Help Is On Its Way,SOJWEBW12A8C13AEEC,Definitive Greatest Hits,AR06XSY1187B9B279E,0b5df3f3-7f4c-4ffb-9279-dbab6cd9bea5,Little River Band,241.57995,0.572198104,0.421802205,1980,1136551,-1,0
TRMMTUS128F9365841,Don't Upset The Rhythm (Go Baby Go),SOOLSML12A8C1414DC,Barbie Lets All Party!,ARLNY561187B9B0355,5221de81-b3cb-48d6-8e60-7c04b5daf02a,Noisettes,190.1971,0.788485246,0.470107802,2009,7262078,-1,0
TRMMTKA128F42A51E7,Warrior,SOSCMSY12A8C13C1E9,Live at Stubb's,AR6J3X81187FB59A7B,e8993e9d-9313-4447-ad23-791459a3790d,Matisyahu,478.79791,0.830592506,0.639798164,2004,3434707,-1,0
TRMMTRI128F4281A55,Heartstopper,SODTWKY12AF729FE39,Fisherman's Woman,ARX395D1187FB41D91,b2a9731b-9e13-4ff9-af21-5e694a5663e8,Emiliana Torrini,182.46485,0.723279138,0.524417303,2005,2948283,-1,0
TRMMUGI128F9303F17,Monsters (Soundtrack Album Version),SOSOUDK12AAF3B353B,The Twilight Saga: New Moon Original Motion Picture Soundtrack,ARXBUHE12472CE340D,486ada94-65a6-4082-9d6d-371e0f0cf648,Hurricane Bells,196.12689,0.576671367,0.466748917,0,6860648,-1,0
TRMMUBQ128F42B81FD,The Driveway,SOPXGQV12A58A7C985,Breakout,ARYAVBS1187FB5B46C,7e9bd05a-117f-4cce-87bc-e011527a8b18,Miley Cyrus,223.05914,0.877591126,0.711128208,2008,3512833,-1,0
TRMMUMK12903CA7B75,Here I Am,SOQMFQX12AB0189E9A,Born In Babylon (Bonus Track Version),ARVWNTI1269FB34C59,,SOJA,288.60036,0.612640524,0.436782949,0,8796240,-1,0
TRMMUUK128F9345143,Forget About It,SOGXEUC12A58A756DA,Forget About It,ARFMT4W1187FB42FA8,6b064ead-91a4-4ac8-8076-b1febe4f4aac,Alison Krauss,208.50893,0.677336327,0.475318006,1999,6174161,-1,0
TRMMLZZ128F93049D5,Nostalgia Amnesia,SOTUYMM12AAF3B336B,Melancholydisco,ARD7IFY1187B99E0CE,f74784e9-600c-4bdf-a324-b1dd430362a4,Viola,260.25751,0.523926039,0.351802721,0,6863489,-1,0
TRMMLUW128E078EF9E,Steelo,SOJLIQT12A6702136D,No Doubt,ARM6WM71187B98C071,4822d466-5c1f-4e04-80e9-e33e8295c26b,702,258.01098,0.629411546,0.426905623,1996,148725,-1,0
TRMMJGN12903CCFB4B,Love vs. Money: Part 2,SOGELNH12AB017F92C,Love Vs Money,ARSA4701187FB571FF,66a4b9d2-d5a6-40b8-93d5-0bdd1dbb4b43,The-Dream,252.00281,0.851369591,0.583639904,0,6535118,-1,0
TRMMJQR128F93421C6,A Song For Sleeping (LP Version),SOZIMRD12AB01876CD,Shangri-LA DEE DA,ARTAFV91187B9BA17C,8c32bb01-58a3-453b-8050-8c0620edb0e5,Stone Temple Pilots,255.32036,0.789104458,0.57619657,2001,5676455,-1,0
TRMMJHB128F42411E8,Cross Bones Style,SODQBJT12A8C1339E9,Everything Is Nice: The Matador Records 10th Anniversary Anthology,AR91NIO1187FB4D732,05755bf1-380c-487f-983f-d1a02401fa28,Cat Power,271.62077,0.80679225,0.51786632,1998,2082196,-1,0
TRMMSHL128F42933EB,You Don't Need Me Now,SOTBVLS12A8C13A29D,Nothin' But The Taillights,ARRSW6F1187FB52CF2,dcd522c9-ac64-4c53-b080-6aab4abf2b44,Clint Black,220.70812,0.710866572,0.445339165,1997,3360283,-1,0
TRMMVUG128E078A24A,Technologic (Vitalic Remix),SOEDGBE12A670211D3,Technologic,ARF8HTQ1187B9AE693,056e4f3e-d505-4dad-8ec1-d04f521cbb56,Daft Punk,324.88444,0.90284076,1.021255587,2005,123260,-1,0
TRMMDFO128F1473E53,Voy A Pasarmelo Bien,SOGHDIA12A6D4F7C96,1984 - 1992 Disco Libro,AR69GGX1187B98E1F7,8b1628a7-130a-4faf-96d8-2418bd9043c2,Hombres G,236.56444,0.632210173,0.49863273,2006,371248,-1,0
TRMMDVB12903CE2FF6,Redneck Yacht Club,SOVHIAK12A8C144F9C,My Kind Of Livin',ARKJMAV1187B98C736,1415b94a-ae0d-4918-9100-1943e8227f1b,Craig Morgan,227.57832,0.731885053,0.50118512,2005,8076599,-1,0
TRMMDKJ128F4293E9F,The Day Before You,SOWUBIN12A8C139C94,Feels Like Today,AR7ZFLN1187FB4830A,6e0ae159-8449-4262-bba5-18ec87fa529f,Rascal Flatts,245.9424,0.864657194,0.776528435,2004,1134125,-1,0
TRMMOWW128F1465642,La Valse D'Am¨¦lie (Version Orchestre),SOGELZG12A6D4F865F,Amelie From Montmartre,AR1PC9R1187B9ACC9A,12d432a3-feb0-49b1-a107-d20751880764,Yann Tiersen,120.39791,0.78817742,0.503801765,2001,298552,-1,0
TRMMOZR128F931474C,Um Minuto Para O Fim Do Mundo,SOAAPMX12AB0181F54,Felicidade Instant?nea,ARTJFCN1187B9987CB,a305918f-ce88-4834-a134-3381e34ad4e8,CPM22,197.95546,0.625791384,0.453106259,2005,4516239,-1,0
TRMMKVM128E0787352,The Oak Tree (Album Version),SORDCVF12A6701F380,Color Of Success,AR2ZAAH1187B98C9C9,4bfe54b0-0a68-4c35-b1a5-17725131f979,Morris Day,442.46159,0.438774035,0.330770122,0,92108,-1,0
TRMMKJX128E07818C1,Face To Face (Cosmo VItelli Remix),SOAKDHD12A6310F1AE,Daft Club,ARF8HTQ1187B9AE693,056e4f3e-d505-4dad-8ec1-d04f521cbb56,Daft Punk,293.45914,0.902840574,1.021255587,2003,6501,-1,0
TRMMKIG12903CEF0AA,Luna Latina,SOMGPJQ12A6D4F7592,The Very Best of Nestor Torres,ARXJSHW1187B9A2A52,cdf09cd2-59e0-4953-839f-bea3bbb07b1b,Nestor Torres,329.24689,0.485921286,0.353156297,0,6663833,-1,0
TRMMKAR128EF3431B1,Without You,SOLOJKD12A67AE0E1D,Joyful,ARN03F71187FB4E3F4,633c13a3-335a-466f-8e01-535837faeff5,Ayo,236.69506,0.522590185,0.390641236,2006,720008,-1,0
TRMWMBW128F932F641,L¨¢ Vem A Cidade,SOXHVCS12AB0184293,Labiata [ International Version ],ARAGB841187B98EC07,da61fb5d-9543-4e36-9fa7-dad3111f7e8e,Lenine,332.85179,0.6332054,0.520964765,0,4070162,-1,0
TRMWMYL128F92F20A1,Whiskey_ You're the Devil,SOKRFEJ12AAF3B15AD,Best Of The Vanguard Years,AROSGVP1187B9B011F,530846f0-4098-4d33-bd8a-8611f823bf51,The Clancy Brothers,133.79873,0.562597242,0.408955833,0,4343769,-1,0
TRMWMHA12903CAD333,Long Lonely Nights,SODDQOW12A58A7FE08,Chess Golden Decade (Volume 3 - 1957),AR45GNP1187B9B78F1,2032b70e-91b2-4202-9eac-a79245f5ecd1,Lee Andrews And The Hearts,177.00526,0.458855284,0.307743267,1986,6391402,-1,0
TRMWWQE128F4295BF0,Face Down (Acoustic),SOWBLAQ12A8C13C152,Don't You Fake It,AR4YKRO1187B9B7829,f0e820ab-f31a-400d-9c5e-8be1c8c38726,The Red Jumpsuit Apparatus,188.36853,0.911044197,0.570192015,2006,3370494,-1,0
TRMWWMZ128F14A2FBD,O Pato,SOIADYR12A6D4FB592,Getz/Gilberto No. 2,AR3THYK1187B999F1F,286ec4c2-b5ca-4f85-b331-280a6d73dd14,Jo?o Gilberto,142.81098,0.645192337,0.47122433,1960,619182,-1,0
TRMWWFJ128F9325CEE,Curs in the Weeds,SOAMSPW12AB017F147,House With No Home,ARF91NB1187B98BDB8,20efa62f-4f98-4bdd-abcc-3e6cfb90d271,Horse Feathers,209.99791,0.648509557,0.495093708,2008,6045277,-1,0
TRMWGKC128F4262582,Peaceful Day,SOBWLHV12A8C136F84,Live At The Key Club,ARGFFA01187B9A2D11,5c210861-2ce2-4be3-9307-bbcfc361cc01,Pennywise,171.65016,0.816998189,0.512229189,1995,2226213,-1,0
TRMWGCR128F14A6BBF,Late Lounge Lover,SOCGCBP12A6D4FAC3A,Third Door Left,ARKTSTP1187FB51C66,11bf566b-a73e-4e8c-ba82-83fdcddd0aed,Hacienda,290.21995,0.636006293,0.430831271,0,636022,-1,0
TRMWGKM12903CCE78B,Happy (Love Theme From "Lady Sings The Blues"),SOTLHDK12AB018A405,Music and Me,ARXPPEY1187FB51DF4,f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,207.77751,0.86652032,0.766545451,1992,7504435,-1,0
TRMWCTY128F4275DED,So Hott (Explicit Album Version),SOTCJRR12A8C137AFF,Rock N Roll Jesus,AR4JOEZ1187B9AE99A,ad0ecd8b-805e-406e-82cb-5b00c3a3a29e,Kid Rock,246.64771,0.84158986,0.642892814,2007,3238095,-1,0
TRMWCKF128F148D40F,Mona Lisa,SOGIYPY12A6D4F8B44,The Great Adventures Of Slick Rick,ARUMGZN1187FB37125,486af4f0-a79b-468f-be73-527cd4caf6ea,Slick Rick,245.83791,0.670372784,0.478985713,1988,510680,-1,0
TRMWBOH128F9300AB8,Cold Cash Colder Hearts,SOVFUNO12AF729EC9C,Live At The House Of Blues,ARIMZQZ1187B9AD541,244afcb7-fa9a-49b1-9aa6-0149512d1c52,Thrice,169.79546,0.873238653,0.519965479,0,3840048,-1,0
TRMWBBZ128F9345DBB,Stained Glass And Marble,SOLQJQS12AB018607A,The Unraveling,ARZWK2R1187B98F09F,606bf117-494f-4864-891f-09d63ff6aa4b,Rise Against,96.36526,0.847081688,0.625080481,2001,6177354,-1,0
TRMWFBU128F14933ED,Babel,SOJQPPR12A6D4F869A,Babel - Music From And Inspired By The Motion Picture,AR1XL241187FB3F4AB,526443fd-8b34-46aa-b82a-43161e08520e,Nortec Collective,200.09751,0.641423594,0.391187505,2006,547126,-1,0
TRMWFKH128EF3437B4,First Gear,SORZKKV12A58A7B9E0,Pieces Of The People We Love,AR3Q48J1187FB55278,3697647f-1839-479e-98a1-9ad39004d923,The Rapture,379.95057,0.749860751,0.51653518,2006,721549,-1,0
TRMWFUB128F423BB6B,Descubriendote,SOBJJJN12A8AE4674B,Lunas Rotas: De casa a las ventas,ARH7PCA1187B99025B,f75752c9-73a3-4f3e-8477-a42cd9629ec5,Rosana,176.71791,0.620275972,0.387386826,0,1401683,-1,0
TRMWQRG128F148696B,Sleepers,SOYVYNW12AF729D48D,Saosin,ARGO67V1187B9968D2,47b8b42a-96e8-46fa-9ea6-70c5136ae971,Saosin,171.88526,0.755077151,0.563763752,2006,473178,-1,0
TRMWZLS128F42503CA,She's A Star,SODXMQC12A8C133444,Songs About Girls,ARCLAF01187FB39AA6,d574c9bd-46f6-440a-8d6a-8412a283eeb1,Will.I.Am,227.7873,0.761088203,0.554573164,2007,1506974,-1,0
TRMWIDY128F14A0C20,Werde Ich Tr?umen?,SOHEWMU12A6D4F9071,Aquarium Caf¨¦,ARKF4F71187B99560D,f2883fdf-94b7-42a4-b8ba-ce252f22374d,Rauschfaktor,304.50893,0.419511878,0.363986299,2001,609838,-1,0
TRMWNLK12903D00F03,Obsessed,SORVHGJ12AB01883C4,The Time Of Our Lives,ARYAVBS1187FB5B46C,7e9bd05a-117f-4cce-87bc-e011527a8b18,Miley Cyrus,243.53914,0.877591126,0.711128208,2009,6737339,-1,0
TRMWNHM128F9335CA2,Van Helsing Boombox,SOUEGBF12AB017EFD5,Six Demon Bag,ARMI4NV1187B99D55D,4e210d41-b3e3-4e34-8c3b-3b8cc2116562,Man Man,222.45832,0.710876957,0.402964935,2006,6111372,-1,0
TRMWPNI128F427CBB0,Eiti-Leda,SOOATDK12A8C136E31,Seru Giran,ARX56SC1187B9BA075,f1cd52dc-49d1-4df6-93ea-3587d8fba30b,Seru Giran,422.05995,0.543652983,0.382925987,0,1025635,-1,0
TRMWPNK128F93471E5,Home Again,SOPRIUU12A8C133EF5,Devotion,ARWCIEL1187FB42EF5,d5cc67b8-1cc4-453b-96e8-44487acdebea,Beach House,248.842,0.789323185,0.537650625,2008,5247725,-1,0
TRMWPMH128F1471315,The Rest Of My Life (Album Version),SOFNAEW12A58A7C17C,In With The Out Crowd,ARG8DXO1187B9AF743,e54e065f-0ce6-4779-9a9a-afd7b997471f,Less Than Jake,213.05424,0.843322339,0.554564302,2006,358325,-1,0
TRMWPCM128E07966AC,All The Ifs (Album Version),SOJYSRO12A67AE01A0,I Gotta Make It,ARL60FF1187B9AE52D,4d7304f6-7fe3-4959-9d98-01a5af84afe6,Trey Songz,305.03138,0.852883876,0.88632272,2005,186400,-1,0
TRMWTPB128F4237781,Sheebeg And Sheemore,SOXFOSA12A58A7CD73,My Own House / You Should See The Rest Of The Band,ARNAU6L1187B9928C5,00daff08-6cd1-4f91-b1ec-2f8ce8603442,David Bromberg,146.36363,0.481417425,0.3323314,1980,2000869,-1,0
TRMWTBL128F42ACFCA,Blanket,SONSOXK12A6D4F7A46,True Chillout (3CD set),ARTLO011187FB532F6,e2a02b0b-ce39-46d8-82fb-2a0fdeff929e,Urban Species / Imogen Heap,345.59955,0.555898195,0.415265229,2001,1271571,-1,0
TRMWUBG128F425BC3D,(Far From) Home,SOCGLAK12A8AE489B1,Sexor Collector's Edition,ARLEWK51187B9B4B5F,6ee8934a-6970-4dce-b2ac-53a93a41af21,Tiga,163.44771,0.734141378,0.490700015,0,3112912,-1,0
TRMWUZB128F425A33F,Banba Oir,SOGSMFL12A8AE47CCC,Banba,ARPXDY61187B9AD0A8,d45641da-371c-430e-8907-6086590ab282,Clannad,207.01995,0.684627554,0.45576904,1993,3106485,-1,0
TRMWUPH128F425B454,Vrresto,SOPKVFQ12A8C13939C,Vrresto,ARRNTMJ1187B9991C8,d9c93d91-9231-4f76-8941-27c35ba03208,Ruins,397.322,0.597803454,0.416235254,0,2783543,-1,0
TRMWLLC128F423CB79,Nothing Compares 2 U,SOZUVHK12A6D4F86F5,The Hits 1,ARL7SZI1187FB4E78F,8a3cf5e4-2a31-4a5f-b616-5eca012a698e,Prince & The New Power Generation,304.79628,0.609369889,0.39921511,1993,1410546,6479,6477
TRMWLST128F92FD8B3,Helpless,SOGABXH12AB01814C5,Deja Vu,AR2UE9U1187B9AD9DA,46a782ea-4308-476b-abd1-a91b197f3037,Crosby_ Stills_ Nash and Young,96.10404,0.645525504,0.479680316,1970,5878468,-1,0
TRMWEOC128F9322C97,Pretty Little Ditty,SOBQTPC12AF72A24BC,Mother's Milk,ARE8GLF1187FB52532,8bfac288-ccc5-448d-9573-c33ea2aa5c30,Red Hot Chili Peppers,96.41751,0.833967972,0.576201966,1989,6987563,-1,0
TRMWEBJ128F931D025,Work It Out,SONDUKG12A58A7DA36,Dangerously In Love,AR65K7A1187FB4DAA4,183105b5-3e68-4748-9086-2c1c11bf7a3d,Beyonc¨¦,246.07302,0.889461001,0.612067268,2002,6008849,-1,0
TRMWECT128E0783913,Baby Can I Hold You,SOUUQVH12A6D4F7DDE,10 Years Of Hits,AR6OSQ81187FB3FDAB,f1cd545b-f17b-4d3a-98de-68b695bfe211,Ronan Keating,189.57016,0.726009875,0.45016392,2004,16069,-1,0
TRMWJGD128F1455E91,Queen Of My Double Wide Trailer,SORWULZ12A6D4F5B1E,Best Of Sammy Kershaw: 20th Century Masters: The Millennium Collection,ARJWICB1187B9AB495,55815bb6-ed69-4e5b-83d8-5408b48254a5,Sammy Kershaw,211.48689,0.591495615,0.516156082,1993,227959,-1,0
TRMWSVF128F14ACBD2,Main Title,SOUSDAM12A6D4FB2BE,Back To The Future III,ARFFDZU1187FB50682,f4c53778-e48d-4da4-9ddd-cc007f715d64,Alan Silvestri,187.27138,0.629301806,0.50063434,1986,663001,-1,0
TRMWSBM128F428D305,Stickshifts And Safetybelts,SOUELOC12AB0182DD1,Fashion Nugget,ARQRQRA12131B4B5A8,fa7b9055-3703-473a-8a09-adf2fe031a24,Cake,128.9922,0.794331284,0.650665868,1996,3335445,-1,0
TRMWSFE128F42483FE,Man With The Red Face,SOKRLWK12A6D4FC82F,bargrooves Summer Sessions,ARQI4MR119B86691FE,56e21084-625d-4d9f-ae5d-aad938cbc98d,Mark Knight & Funkagenda,635.55873,0.650128371,0.403332447,2008,3022641,-1,0
TRMWDXL128F92E450C,Thank The Watchmaker,SOMZMKH12A58A7E30B,Who Speaks For Planet Earth?,ARZ6YEB1187FB486E5,3c99df09-65bc-4326-a728-706a6ee57dc9,And Then There Were None,206.8371,0.684779225,0.541876741,2009,4274261,-1,0
TRMWDQK128E078E735,It's My Own Fault,SOIGMTU12AB0179CEC,Live At The Regal,AR4GAFY1187B9B639D,dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3,B.B. King,189.3873,0.7087354,0.542289933,1965,146635,-1,0
TRMWDDD128F92E1ECF,Leave Right Now,SOFVBVA12A8AE484E7,Fridays Child,ARSPGHQ1187B9AF447,7240a9e1-01d1-4322-b34a-ad573703f108,Will Young,213.55057,0.663447128,0.438326669,2003,4264436,36374,36374
TRMWXQA128F4293F79,Alcohol,SOILAUT12A8C139E5D,Super Taranta!,AR0YME61187FB3B544,f47fc54d-b334-4321-8218-00c5b11d4dd1,Gogol Bordello,294.71302,0.755886369,0.527010667,2007,1134589,-1,0
TRMWXEG12903CDE1AD,Ink My Whole Body,SOKJBXF12A58A7CD00,Ink My Whole Body,ARN0GFV1187FB508CC,f5dfa020-ad69-41cd-b3d4-fd7af0414e94,Wiz Khalifa,155.402,0.773934559,0.778657269,2010,7568532,-1,0
TRMWKUJ12903CA3FC7,Wasting My Time (Album Version),SOAEUYZ12AF72A6379,The White Stripes,AR8V1WA1187B9AD9E9,11ae9fbb-f3d7-4a47-936f-4c0a04d3b3b5,The White Stripes,133.51138,0.878811343,0.653897217,1999,7328547,-1,0
TRMWKZD128F425A2F6,Don't Let It Bring You Down,SOYVFQB12A8AE45B99,Medusa,ARW9FP41187B98C2A7,3e30aebd-0557-4cfd-8fb9-3945afa5d72b,Annie Lennox;Steven Lipson,216.92036,0.806580411,0.621085212,1995,3106412,2120,2119
TRMWYCI128F92CB637,Basher,SOUEMDH12A8C1435E7,Winter Tour '05 - '06,AR5BX3Y1187FB39E93,2c7e21ad-9b16-42df-9f9b-d583ce70a88a,Slightly Stoopid,231.44444,0.866171076,0.48833899,2005,4149386,-1,0
TRMWYWZ12903CEA8A4,Official,SOSCNMY12AC3DFB313,Black Refuge Ep,AR0L41H1187B9AF252,fb2df245-81b0-4a2b-9d01-e0955ba68be7,Junip,365.47873,0.565589363,0.44987312,2005,8595213,-1,0
TRMWYOV128F931BFF4,Headstrong (Album Version),SOCQJYB12AB017E855,Trapt,AR2TFDC1187FB45779,8876c0be-ccff-4d46-aa91-7f935a3b3b6b,Trapt,285.98812,0.8769456,0.594373031,2002,6004652,-1,0
TRMWYYF12903CE6C6B,Marlene On The Wall,SOLANPM12AC46895E0,Lifestyle2 - Acoustic Vol 1,ARBM5JV1187B9ACD9B,cf119120-7df5-47d7-9dec-49f8837a4e40,Suzanne Vega,219.58485,0.755279126,0.57119029,1985,6629869,-1,0
TRMWYIH128E078DCA6,St. Louie,SOMTUPP12A6701FC38,Country Grammar,ARCBD0U1187FB466EF,811900b2-68fc-4d41-8bad-69b7a1f4d628,Nelly,269.16526,0.912368981,0.787994622,2000,143168,-1,0
TRMGWVS128F424F277,M¨²sica Para Una Boda,SOBGQHH12A8151CAC5,Vivimos Siempre Juntos,AR2G8XO1187B9952A1,cfe9cb9e-7233-49ec-9d2b-28107a3713e0,Nacho Cano,599.11791,0.471761158,0.401366151,2006,3051222,-1,0
TRMGWHV128F932745F,Metroid - Kraid's Lair,SOQEVPG12AB0186C68,Elf Titled,ARROLGK1187FB5738D,31e48c9d-8deb-48f5-83c3-67edb20d7f5e,The Advantage,160.96608,0.613572487,0.378647779,0,6051288,-1,0
TRMGWLI128F931AF22,Man With The Movie Camera,SOWZQYA12AB0187033,Man With A Movie Camera,AR82CHF1187FB3BA3E,7c158ea8-c0aa-410e-bdc1-20bba9759577,The Cinematic Orchestra,485.98159,0.712479067,0.53924903,2002,3969832,-1,0
TRMGWRE128F429FEF5,We Rode In Trucks,SOKUQKE12AF72AAEA9,I'll Stay Me,ARNNM56119B86686EA,aab35942-f176-4f77-bbf9-1d6aa98ccf3f,Luke Bryan,270.34077,0.748536142,0.702594755,0,1199256,-1,0
TRMGGGR128F42889D4,We're Going To Be Friends,SOBZCUC12A58A7D9AD,Sing-A-Longs & Lullabies For The Film Curious George,ARC8CQZ1187B98DECA,ff6e677f-91dd-4986-a174-8db0474b1799,Jack Johnson,137.50812,0.832011769,0.677482479,2006,3316135,-1,-26
TRMGGMS128F9306682,Before The World Was Made (Album),SORHJYH12A6D4FBF0D,No Promises,ARSN9QH1187B998BC5,f90575d1-abcb-42b3-ae32-1849312c26e6,Carla Bruni,231.02649,0.758191634,0.511124276,2007,4970144,-1,0
TRMGGZR128F93123FA,Plastic Dreams,SOQCOWO12AB0179B64,In Order To Dance,AR2HFII1187FB378BC,af84fdf4-22ac-4ce5-8ed0-6fad3b949172,Jaydee,621.29587,0.57598311,0.371026654,1992,3927187,-1,0
TRMGHPP128F1484D42,Finally Found,SOKIFMI12A6D4F9CAB,True 90s (3 CD Set),ARTU0K61187B9A561C,1c047126-1946-43de-9ba3-54840f4c3669,The Honeyz,288.62649,0.514066857,0.372806371,1998,464618,-1,0
