user,song,play_count
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOADQPP12A67020C82,12
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOAFTRR12AF72A8D4D,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOANQFY12AB0183239,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOAYATB12A6701FD50,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOBOAFP12A8C131F36,7
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOBONKR12A58A7A7E0,26
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOBZZDU12A6310D8A3,7
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOCAHRT12A8C13A1A4,5
d6589314c0a9bcbca4fee0c93b14bc402363afea,SODASIJ12A6D4F5D89,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SODEAWL12AB0187032,8
d6589314c0a9bcbca4fee0c93b14bc402363afea,SODJWHY12A8C142CCE,8
d6589314c0a9bcbca4fee0c93b14bc402363afea,SODLLYS12A8C13A96B,4
d6589314c0a9bcbca4fee0c93b14bc402363afea,SODLSCE12A6D4FBCAC,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SODUGQV12AF72A6803,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOEQJBS12A8AE475A4,6
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOFRCGW12A81C21EA6,7
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOGJQBU12A6D4FA8EC,7
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOGTQNI12AB0184A5C,6
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOHFGKG12A6701C429,7
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOISNSU12AC468C0D8,6
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOIWKTZ12A8C13571B,5
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOJTLHS12A8C13F633,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOKUPAO12AB018D576,4
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOLECYL12A58A7BF88,2
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOLFXKT12AB017E3E0,7
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOLUHHS12A58A81A6B,8
d6589314c0a9bcbca4fee0c93b14bc402363afea,SONHLJN12A81C2169B,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SONHWUN12AC468C014,9
d6589314c0a9bcbca4fee0c93b14bc402363afea,SONOYIB12A81C1F88C,7
d6589314c0a9bcbca4fee0c93b14bc402363afea,SONYKOW12AB01849C9,7
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOOJJCT12A6310E1C0,6
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOOROCA12AF72A07D1,6
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOPCQFN12A6701F955,9
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOPIEIJ12A6D4F8F81,2
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOPSOHT12A67AE0235,14
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOPTLQL12AB018D56F,8
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOPWZGK12A67020744,6
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOSIZSI12A8AE46305,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOSTLBB12A8C13E3DB,1
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOSZNRJ12A8AE46E38,6
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOTFJGS12AB017F577,2
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOTTNZU12A6D4FA237,23
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOTWNDJ12A8C143984,8
d6589314c0a9bcbca4fee0c93b14bc402363afea,SOTWSXL12A8C143349,7
